din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2024-01-04 02:00:00;SE;SUDESTE;S;SUL;-5187.02100000
2024-01-04 03:00:00;N;NORTE;NE;NORDESTE;3179.19900000
2024-01-04 03:00:00;N;NORTE;SE;SUDESTE;-4286.20700000
2024-01-04 03:00:00;NE;NORDESTE;SE;SUDESTE;-3047.13500000
2024-01-04 03:00:00;SE;SUDESTE;S;SUL;-5337.39700000
2024-01-04 04:00:00;N;NORTE;NE;NORDESTE;3315.43100000
2024-01-04 04:00:00;N;NORTE;SE;SUDESTE;-4298.73400000
2024-01-04 04:00:00;NE;NORDESTE;SE;SUDESTE;-3148.24500000
2024-01-04 04:00:00;SE;SUDESTE;S;SUL;-5541.08200000
2024-01-04 05:00:00;N;NORTE;NE;NORDESTE;3087.36499999
2024-01-04 05:00:00;N;NORTE;SE;SUDESTE;-4073.85500000
2024-01-04 05:00:00;NE;NORDESTE;SE;SUDESTE;-2790.94300000
2024-01-04 05:00:00;SE;SUDESTE;S;SUL;-5607.45900000
2024-01-04 06:00:00;N;NORTE;NE;NORDESTE;2510.12900000
2024-01-04 06:00:00;N;NORTE;SE;SUDESTE;-3356.89600000
2024-01-04 06:00:00;NE;NORDESTE;SE;SUDESTE;-2273.92700000
2024-01-04 06:00:00;SE;SUDESTE;S;SUL;-5413.40600000
2024-01-04 07:00:00;N;NORTE;NE;NORDESTE;1755.70700000
2024-01-04 07:00:00;N;NORTE;SE;SUDESTE;-2378.45800000
2024-01-04 07:00:00;NE;NORDESTE;SE;SUDESTE;-1264.10400000
2024-01-04 07:00:00;SE;SUDESTE;S;SUL;-5051.39400000
2024-01-04 08:00:00;N;NORTE;NE;NORDESTE;921.34100000
2024-01-04 08:00:00;N;NORTE;SE;SUDESTE;-1607.22900000
2024-01-04 08:00:00;NE;NORDESTE;SE;SUDESTE;-761.07000000
2024-01-04 08:00:00;SE;SUDESTE;S;SUL;-4889.80500000
2024-01-04 09:00:00;N;NORTE;NE;NORDESTE;374.09100000
2024-01-04 09:00:00;N;NORTE;SE;SUDESTE;-1232.62100000
2024-01-04 09:00:00;NE;NORDESTE;SE;SUDESTE;-418.33700000
2024-01-04 09:00:00;SE;SUDESTE;S;SUL;-4391.81400000
2024-01-04 10:00:00;N;NORTE;NE;NORDESTE;176.79800000
2024-01-04 10:00:00;N;NORTE;SE;SUDESTE;-926.65800000
2024-01-04 10:00:00;NE;NORDESTE;SE;SUDESTE;120.18600000
2024-01-04 10:00:00;SE;SUDESTE;S;SUL;-3403.36400000
2024-01-04 11:00:00;N;NORTE;NE;NORDESTE;-285.94700000
2024-01-04 11:00:00;N;NORTE;SE;SUDESTE;-518.65200000
2024-01-04 11:00:00;NE;NORDESTE;SE;SUDESTE;455.74900000
2024-01-04 11:00:00;SE;SUDESTE;S;SUL;-1917.12900000
2024-01-04 12:00:00;N;NORTE;NE;NORDESTE;-487.35900000
2024-01-04 12:00:00;N;NORTE;SE;SUDESTE;-165.23700000
2024-01-04 12:00:00;NE;NORDESTE;SE;SUDESTE;892.94500000
2024-01-04 12:00:00;SE;SUDESTE;S;SUL;-1226.43599999
2024-01-04 13:00:00;N;NORTE;NE;NORDESTE;-414.34400000
2024-01-04 13:00:00;N;NORTE;SE;SUDESTE;-400.05000000
2024-01-04 13:00:00;NE;NORDESTE;SE;SUDESTE;589.03300000
2024-01-04 13:00:00;SE;SUDESTE;S;SUL;-2496.13299999
2024-01-04 14:00:00;N;NORTE;NE;NORDESTE;-256.22900000
2024-01-04 14:00:00;N;NORTE;SE;SUDESTE;-952.47400000
2024-01-04 14:00:00;NE;NORDESTE;SE;SUDESTE;-113.53800000
2024-01-04 14:00:00;SE;SUDESTE;S;SUL;-3206.45800000
2024-01-04 15:00:00;N;NORTE;NE;NORDESTE;-6.84900000
2024-01-04 15:00:00;N;NORTE;SE;SUDESTE;-1221.51800000
2024-01-04 15:00:00;NE;NORDESTE;SE;SUDESTE;-181.51300000
2024-01-04 15:00:00;SE;SUDESTE;S;SUL;-2812.97800000
2024-01-04 16:00:00;N;NORTE;NE;NORDESTE;221.31500000
2024-01-04 16:00:00;N;NORTE;SE;SUDESTE;-1338.41400000
2024-01-04 16:00:00;NE;NORDESTE;SE;SUDESTE;-211.53800000
2024-01-04 16:00:00;SE;SUDESTE;S;SUL;-2547.26800000
2024-01-04 17:00:00;N;NORTE;NE;NORDESTE;918.13400000
2024-01-04 17:00:00;N;NORTE;SE;SUDESTE;-1498.45000000
2024-01-04 17:00:00;NE;NORDESTE;SE;SUDESTE;-704.34600000
2024-01-04 17:00:00;SE;SUDESTE;S;SUL;-2900.91600000
2024-01-04 18:00:00;N;NORTE;NE;NORDESTE;1254.31700000
2024-01-04 18:00:00;N;NORTE;SE;SUDESTE;-1338.87400000
